include,v,do,id,powo,taxon_name,taxon_authors,species_syn,species_alt,group,item,description,related,also,source,petruzzello,hill,dalby,vanwyk,anderson,katzer,ucla,polyu,freq,category,tag,comment,kingdom,part,wikipedia,britannica,common_names,wyk_name,dalby_name,hill_name,anderson_name,katzer_name,amar_name,hu_name,wiki_name,other_name,etymologies,wiktionary,plant name,region_of_origin,origin dalby,lat,lon,location,macroarea,cultivation,color,taste_smell,heat,major_uses,ill_source,ill_page,ill_key,ill_link,other_links,wn_plant,wn,wn_comment,English,en_alt,Arabic,ar,ar_literal,ar_alt,Chinese,zh,zh_literal,zh_alt,zh_notes,Hungarian,hu_literal,hu_alt,hu_notes,Cantonese,yu,yu literal,notes,operative,pharmaceutical,tcm,tcm_db,tcm_url,tcm_zh,tcm_pinyin,tcm_en,tcm_desc,medicinal_group,nature_and_flavors,meridian_affinity,action,foc,hu_history_1990,year recorded in TCM,ayurveda,gbif,trop,eol,ncbi,Hindi,hi,hi literal,Hi alt ,Indonesian,Persian
maybe,11.0,,,,Apium graveolens,,,,,celery,,,,vanwyk_2014_culinary,,1.0,,1.0,,1.0,,,3,,,,Plantae,leaf; seed,,,,celery,,,,,,,,,,,,Eur; As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,6.0,,,,Apium graveolens var. dulce,,,,,celery seed,,,,,1.0,,,,,,,,1,spice,,,Plantae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,'Celtic nard',probably Valeriana celtica,,,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,'Celtic nard',,,,,,,,,,,,southern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Centaurium erythraea,,,,,centaury; feverwort; pink centaury,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,herb,,,,centaury; feverwort; pink centaury,,,,,,,,,,,,Eur; As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Leucas zeylanica,,,,,Ceylon leucas; admiration herb,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf,,,,Ceylon leucas; admiration herb,,,,,,,,,,,,Trop As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Dillenia indica,,,,,chalta tree; elephant apple,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,fruit pulp,,,,chalta tree; elephant apple,,,,,,,,,,,,Ind; C Malay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,6.0,,,,,,,,,chameleon plant,,,,katzer_2006_gernot,,,,,,1.0,,,1,,,,Plantae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Sinapis arvensis,,,,,charlock; field mustard; California rape; wild mustard,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,seed,,,,charlock; field mustard; California rape; wild mustard,,,,,,,,,,,,Eur; Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Buchanaria lanzan,,,,,charoli; chironji,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,seed,,,,charoli; chironji,,,,,,,,,,,,As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Vitex agnus-castus,,,,,chaste pepper,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,fruit,,,,chaste pepper,,,,,,,,,,,,S Eur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,6.0,,,,,,,,,chaste tree,,,,katzer_2006_gernot,,,,,,1.0,,,1,,,,Plantae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Aeollanthus heliotropoides,,,,,chegadinka; macassa,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf,,,,chegadinka; macassa,,,,,,,,,,,,Afr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Prunus laurocerasus,,,,,cherry laurel; laurel,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,fresh leaf,,,,cherry laurel; laurel,,,,,,,,,,,,Eur; W As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,12.0,,,,Anthriscus cerefolium,,,,,chervil,,,,vanwyk_2014_culinary,1.0,1.0,,1.0,,1.0,,,4,,,,Plantae,leaf,,,,chervil; garden chervil; French parsley,,,,,,,,,,,,As; W As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Salvia hispanica,,,,,chia,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,seed; herb,,,,chia,,,,,,,,,,,,C Mex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,6.0,,,,Cichorium intybus,,,,,chicory,,,,,1.0,1.0,,,,,,,2,,,,Plantae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,10.0,,,,,,,,chiles,"Chilli, ancho, Cayenne pepper, chile pepper, jalapeño, paprika, *pepper, *pimento, red pepper",fruit of Capsicum annuum,,"See also Rocoto, Scotch bonnet, Tabasco pepper, Uchu, Ulupica",dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,"Chilli, ancho, Cayenne pepper, chile pepper, jalapeño, paprika, *pepper, *pimento, red pepper",,,,,,,,,,,,Central America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,"China root, Chinese sarsaparilla",Smilax pseudo-china,,,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,"China root, Chinese sarsaparilla",,,,,,,,,,,,eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Rosa chinensis,,,,,China rose; Bengal rose,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,petals,,,,China rose; Bengal rose,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Angelica polymorpha var. sinensis,,,,,Chinese angelica; dang gui,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,root,,,,Chinese angelica; dang gui,,,,,,,,,,,,As; E As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Canarium pimela,,,,,Chinese black olive; Chinese black canarium,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,seed,,,,Chinese black olive; Chinese black canarium,,,,,,,,,,,,As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,Chinese cardamom,fruit of Amomum globosum,,,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,Chinese cardamom,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,"Chinese cinnamon, cassia",bark of Cinnamomum cassia; C. chekiangense and other species,,,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,"Chinese cinnamon, cassia",,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Agastache rugosa,,,,,Chinese giant hyssop; Korean mint,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf,,,,Chinese giant hyssop; Korean mint,,,,,,,,,,,,N Am; W As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Allium ramosum,,,,,Chinese leek,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,bulb; leaf,,,,Chinese leek,,,,,,,,,,,,As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Glycyrrhiza uralensis,,,,,Chinese licorice; Manchurian liquorice,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,root,,,,Chinese licorice; Manchurian liquorice,,,,,,,,,,,,China; As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Schisandra chinensis,,,,,Chinese magnolia vine; five-flavour fruit,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,fruit; bark,,,,Chinese magnolia vine; five-flavour fruit,,,,,,,,,,,,China; Jap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Allium chinense,,,,,Chinese onion; oriental onion; rakkyo,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,bulb,,,,Chinese onion; oriental onion; rakkyo,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,"Chinese pepper, *fagara",fruit of Zanthoxylum armatum,,,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,"Chinese pepper, *fagara",,,,,,,,,,,,"Zanthoxylum planispinum and other species, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Zanthoxylum simulans,,,,,Chinese pepper; Sichuan pepper; chuan jiao,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,fruit; leaf,,,,Chinese pepper; Sichuan pepper; chuan jiao,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Acorus gramineus,,,,,Chinese sweet grass; Japanese sweet flag; grass leaf sweet flag,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,rhizome,,,,Chinese sweet grass; Japanese sweet flag; grass leaf sweet flag,,,,,,,,,,,,E As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Clausena lansium,,,,,Chinese wampee; wampi,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf,,,,Chinese wampee; wampi,,,,,,,,,,,,E As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Swertia chirata,,,,,chirata; chireta,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,herb,,,,chirata; chireta,,,,,,,,,,,,C As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,5.0,,,,,,,,,Chives,,,,hill_contemporary_2004,,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,Chocolate,seed of theobroma Cacao,,See also Nicaragua chocolate,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,Chocolate,,,,,,,,,,,,Central America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Quararibea funebris,,,,,chocolate flower,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,flower,,,,chocolate flower,,,,,,,,,,,,Mex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Chrysanthemum coronarium,,,,,chop suey greens; crown daisy; garland chrysanthemum; garland daisy; tangho; Japanese greens,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf; seedlings,,,,chop suey greens; crown daisy; garland chrysanthemum; garland daisy; tangho; Japanese greens,,,,,,,,,,,,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,12.0,,,,Myrrhis odorata,,,,,cicely,,,,vanwyk_2014_culinary,1.0,1.0,,1.0,,1.0,,,4,,,,Plantae,fresh herb; fruit,,,,cicely; sweet cicely; garden myrrh,,,,,,,,,,,,Eur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,"Cinnamon, Ceylon cinnamon",bark of Cinnamomum zeylanicum,,See also Canela; Canella; Chinese cinnamon; Padang cinnamon: Saigon cinnamon,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,"Cinnamon, Ceylon cinnamon",,,,,,,,,,,,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Citrus medica var. medica,,,,,citron; citron peel,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,fruit,,,,citron; citron peel,,,,,,,,,,,,Trop As; C As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,"Citronella oil, nard grass",Cymbopogon nardus and C. winterianus,,,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,"Citronella oil, nard grass",,,,,,,,,,,,southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Cymbopogon nardus,,,,,citronella; Ceylon citronella; nard grass,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf,,,,citronella; Ceylon citronella; nard grass,,,,,,,,,,,,Trop As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Pelargonium × citrosum,,,,,citrosa geranium; mosquito plant,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf,,,,citrosa geranium; mosquito plant,,,,,,,,,,,,cultivated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,Civet,secretion of Viverra civetta and other species,,,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Animalia,,,,,,Civet,,,,,,,,,,,,Africa and Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Salvia sclarea,,,,,clary; clary sage,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf,,,,clary; clary sage,,,,,,,,,,,,Eur; C As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Verbascum phlomoides,,,,,clasping mullein; orange mullein,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,flower,,,,clasping mullein; orange mullein,,,,,,,,,,,,S Eur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Piper baccatum,,,,,climbing pepper of Java,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,fruit; leaf,,,,climbing pepper of Java,,,,,,,,,,,,SE As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Dicypellium caryophyllatum,,,,,clove bark; pinkwood bark,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,bark,,,,clove bark; pinkwood bark,,,,,,,,,,,,S Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Ravensara aromatica,,Cryptocarya spp.,,,clove nutmeg; Madagascar clove; Madagascar nutmeg,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,bark; leaf; seed,,,,clove nutmeg; Madagascar clove; Madagascar nutmeg,,,,,,,,,,,,Madag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Geum urbanum,,,,,clove root; herb bennet; wood avens,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,root,,,,clove root; herb bennet; wood avens,,,,,,,,,,,,Eur; As; N Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Trigonella corniculata,,,,,clustered trefoil,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,seed,,,,clustered trefoil,,,,,,,,,,,,Eur; Med; W As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,Coca,leaf of Erythroxylum coca and E. novogranatense,,,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,Coca,,,,,,,,,,,,South America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,Cochineal,Dactylopius coccus,,,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,Cochineal,,,,,,,,,,,,Central America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,10.0,,,,Cocos nucifera,,,,,coconut,,,,vanwyk_2014_culinary,,,,1.0,,1.0,,,2,,,,Plantae,fruit,,,,coconut,,,,,,,,,,,,Trop As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Cola acuminata,,,,,cola nut; abata cola,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,seed,,,,cola nut; abata cola,,,,,,,,,,,,W Afr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Calamintha nepeta,,,,,common calamint; lesser calamint,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,herb,,,,common calamint; lesser calamint,,,,,,,,,,,,Eur; As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Elsholtzia ciliata,,,,,common elsholtzia; Vietnamese balm,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,herb,,,,common elsholtzia; Vietnamese balm,,,,,,,,,,,,C & E As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Verbena officinalis,,,,,common verbena; European vervain; lemon-scented verbena; vervain,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf; herb,,,,common verbena; European vervain; lemon-scented verbena; vervain,,,,,,,,,,,,Euras; Afr; Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Viola odorata,,,,,common violet; florist’s violet; garden violet; sweet-scented violet,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,flower; herb,,,,common violet; florist’s violet; garden violet; sweet-scented violet,,,,,,,,,,,,Euras; Afr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Oxalis acetosella,,,,,common wood sorrel; wood sorrel; shamrock,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf,,,,common wood sorrel; wood sorrel; shamrock,,,,,,,,,,,,Eur; As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Achillea millefolium,,,,,common yarrow; fragrant yarrow; milfoil,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf,,,,common yarrow; fragrant yarrow; milfoil,,,,,,,,,,,,As; Eur; N Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,"Coriander, cilantro",fruit of Coriandrum sativum,,,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,"Coriander, cilantro",,,,,,,,,,,,eastern Mediterranean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Glehnia litoralis,,,,,cork wing,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf,,,,cork wing,,,,,,,,,,,,NE As; N Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Mentha arvensis,,,,,corn mint; field mint; Japanese mint,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf; herb,,,,corn mint; field mint; Japanese mint,,,,,,,,,,,,Eur; As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Valerianella locusta,,,,,corn salad; lamb’s lettuce; mache,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,herb,,,,corn salad; lamb’s lettuce; mache,,,,,,,,,,,,Eur; Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Mentha requienii,,,,,Corsican mint; menthella,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf; herb,,,,Corsican mint; menthella,,,,,,,,,,,,Eur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,13.0,,,,Tanacetum balsamita,,,,,costmary,leaf of Tanacetum balsamina,,,vanwyk_2014_culinary,1.0,,1.0,1.0,,,,,3,,,,Plantae,herb,,,,alecost; costmary,Costmary,,,,,,,,,,,Eur; C As,perhaps Near East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,12.0,,,,Saussurea costus,,,,,costus,,,see Putchuk,vanwyk_2014_culinary,,,1.0,1.0,,,,,2,,,,Plantae,root,,,,costus,costus,,,,,,,,,,,E Himal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Vaccaria hispanica,,,,,cow cockle; cow herb; dairy pink,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,herb,,,,cow cockle; cow herb; dairy pink,,,,,,,,,,,,Euras; Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,5.0,,,,,,,,,Cream of Tartar,,,,hill_contemporary_2004,,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,18.0,,,,Andrographis paniculata,(Burm.f.) Nees,,,,creat,,,,hu_history_1990,,,,,,,,,0,medicine,,,Plantae,whole plant,https://en.wikipedia.org/wiki/Andrographis_paniculata,,,,,,,,,"kiryat, creat",,green chiretta,,,,Tr As,,26.0,85.0,,Asia,,,,,,,,,,,,,,,,,,,,穿心莲,chuānxīnlián,,,,,,,,,,,,,,,,,,,,,,,,,,yes,?,,,,,,,,,,,
maybe,8.0,,,,Oxalis corniculata,,,,,creeping wood sorrel; creeping oxalis,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf,,,,creeping wood sorrel; creeping oxalis,,,,,,,,,,,,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Lepidium sativum,,,,,cress; garden cress; pepper grass,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,fresh leaf,,,,cress; garden cress; pepper grass,,,,,,,,,,,,N Afr; W & C As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,6.0,,,,,,,,,cresses,,,,katzer_2006_gernot,,,,,,1.0,,,1,,,,Plantae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Allium vineale,,,,,crow garlic; false garlic; field garlic,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf,,,,crow garlic; false garlic; field garlic,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Artemisia ludoviciana,,,,,cudweed; western mugwort; white sage,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,herb,,,,cudweed; western mugwort; white sage,,,,,,,,,,,,N Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,5.0,,,,,,,,,Culantro,,,,hill_contemporary_2004,,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
